gene_id,symbol,alias
718,C3,"AHUS5,ARMD9,ASP,C3a,C3b,CPAMD1,HEL-S-62p"
16653,Kras,"K-Ras,K-Ras 2,K-ras,Ki-ras,Kras-2,Kras2,c-K-ras,c-Ki-ras,p21B,ras"
4552,MTRR,"MSR,cblE"
653361,NCF1,"CGD1,NCF1A,NOXO2,SH3PXD1A,p47phox"
5979,RET,"CDHF12,CDHR16,HSCR1,MEN2A,MEN2B,MTC1,PTC,RET-ELE1"
4691,NCL,"C23,Nsr1"
4758,NEU1,"NANH,NEU,SIAL1"
217,ALDH2,"ALDH-E2,ALDHI,ALDM"
3502,IGHG3,"I,g,G,3"
4547,MTTP,"ABL,MTP"
16183,Il2,"I,l,-,2"
1103,CHAT,"CHOACTASE,CMS1A,CMS1A2,CMS6"
16017,Ighg1,"IgG1,Igh-4,VH7183"
854073,IRA2,"CCS1,GLC4"
4684,NCAM1,"CD56,MSK39,NCAM"
2006,ELN,"ADCL1,SVAS,WBS,WS"
3087,HHEX,"HEX,HMPH,HOX11L-PEN,PRH,PRHX"
613,BCR,"ALL,BCR1,CML,D22S11,D22S662,PHL"
5265,SERPINA1,"A1A,A1AT,AAT,PI,PI1,PRO2275,alpha1AT,nNIF"
16334,Ins2,"Ins-2,InsII,Mody,Mody4"
852437,IRA1,"GLC1,PPD1"
7253,TSHR,"CHNG1,LGR3,hTSHR-I"
6341,SCO1,"MC4DN4,SCOD1"
174,AFP,"AFPD,FETA,HPAFP"
26203,ND6,None
26195,COX1,"C,O,I"
720,C4A,"C4,C4A2,C4A3,C4A4,C4A6,C4AD,C4S,CO4,CPAMD2,RG"
3105,HLA-A,"H,L,A,A"
10487,CAP1,"CAP,CAP1-PEN"
52,ACP1,"HAAP,LMW-PTP,LMWPTP"
632,BGLAP,"BGP,OC,OCN"
7984,ARHGEF5,"GEF5,P60,TIM,TIM1"
2033,EP300,"KAT3B,MKHK2,RSTS2,p300"
3507,IGHM,"AGM1,MU,VH"
6390,SDHB,"CWS2,IP,MC2DN4,PGL4,SDH,SDH1,SDH2,SDHIP"
3570,IL6R,"CD126,HIES5,IL-1Ra,IL-6R,IL-6R-1,IL-6RA,IL6Q,IL6QTL,IL6RA,IL6RQ,gp80"
116562,Il2,None
64395,GMCL1,"BTBD13,GCL,GCL1,SPATA29"
24826,Tg,"T,g,n"
3916,LAMP1,"CD107a,LAMPA,LGP120"
1509,CTSD,"CLN10,CPSD,HEL-S-130P"
13106,Cyp2e1,"CYPIIE1,Cyp2e"
17295,Met,"HGF,HGFR,Par4,c-Met"
1392,CRH,"CRF,CRH1"
597,BCL2A1,"ACC-1,ACC-2,ACC1,ACC2,BCL2L5,BFL1,GRS,HBPA1"
5079,PAX5,"ALL3,BSAP,PAX-5"
39202,hay,"CG8019,DhR25,DhXPB,DmXPB,Dmel\CG8019,ERCC3,Hay,TFIIH,XPB,Xpb,Xpb/hay,hwr,i50,ms(3)nc2,nc2"
2592,GALT,None
3497,IGHE,"I,g,E"
5741,PTH,"FIH1,PTH1"
7490,WT1,"AWT1,GUD,NPHS4,WAGR,WIT-2,WT-1,WT33"
335,APOA1,"HPALP2,apo(a)"
127,ADH4,"ADH-2,HEL-S-4"
2067,ERCC1,"COFS4,RAD10,UV20"
1431,CS,None
394432,Ugt1a7c,"A10',A13,UGT1A7,Ugt1a10"
5972,REN,"ADTKD4,HNFJ2,RTD"
2187,FANCB,"FA2,FAAP90,FAAP95,FAB,FACB"
4282,MIF,"GIF,GLIF,MMIF"
338,APOB,"FCHL2,FLDB,LDLCQ4,apoB-100,apoB-48"
924,CD7,"GP40,LEU-9,TP41,Tp40"
3569,IL6,"BSF-2,BSF2,CDF,HGF,HSF,IFN-beta-2,IFNB2,IL-6"
965,CD58,"LFA-3,LFA3,ag3"
3458,IFNG,"IFG,IFI,IMD69"
3552,IL1A,"IL-1 alpha,IL-1A,IL1,IL1-ALPHA,IL1F1"
629,CFB,"AHUS4,ARMD14,BF,BFD,CFAB,CFBD,FB,FBI12,GBG,H2-Bf,PBF2"
13607,Eda,"EDA1,Ed1,Eda-A1,Eda-A2,HED,Ta,Tnlg7c,XLHED,tabby"
24493,Il1a,"IL-1 alpha,IL-1F1"
4359,MPZ,"CHM,CHN2,CMT1,CMT1B,CMT2I,CMT2J,CMT4E,CMTDI3,CMTDID,DSS,HMSNIB,MPP,P0"
3572,IL6ST,"CD130,CDW130,GP130,HIES4,HIES4A,HIES4B,IL-6RB,IMD94,STWS2,sGP130"
203,AK1,"H,T,L,-,S,-,5,8,j"
710,SERPING1,"C1IN,C1INH,C1NH,HAE1,HAE2"
443393,ALB,None
945,CD33,"SIGLEC-3,SIGLEC3,p67"
100754506,Cftr,None
5617,PRL,"G,H,A,1"
16189,Il4,"BSF-1,Il-4"
462,SERPINC1,"AT3,AT3D,ATIII,ATIII-R2,ATIII-T1,ATIII-T2,THPH7"
23624,CBLC,"CBL-3,CBL-SL,RNF57"
5925,RB1,"OSRC,PPP1R130,RB,p105-Rb,p110-RB1,pRb,pp110"
853671,STE6,None
850327,HIS4,None
16362,Irf1,"I,r,f,-,1"
1000,CDH2,"ACOGS,ADHD8,ARVD14,CD325,CDHN,CDw325,NCAD"
3827,KNG1,"BDK,BK,HAE6,HK,HMWK,KNG"
5950,RBP4,"MCOPCB10,RDCCAS"
16000,Igf1,"C730016P09Rik,Igf-1,Igf-I"
911,CD1C,"BDCA1,CD1,CD1A,R7"
3481,IGF2,"C11orf43,GRDF,IGF-II,PP9974,SRS3"
7412,VCAM1,"CD106,INCAM-100"
11423,Ache,None
6402,SELL,"CD62L,LAM1,LECAM1,LEU8,LNHR,LSEL,LYAM1,PLNHR,TQ1"
1813,DRD2,"D2DR,D2R"
2064,ERBB2,"CD340,HER-2,HER-2/neu,HER2,MLN 19,MLN-19,NEU,NGL,TKR1,VSCN2,c-ERB-2,c-ERB2,p185(erbB2)"
2688,GH1,"GH,GH-N,GHB5,GHN,IGHD1A,IGHD1B,IGHD2,hGH-N"
124,ADH1A,"A,D,H,1"
4594,MMUT,"MCM,MUT"
12310,Calca,"CA,CGRP-1,CGRP1,Calc,Calc1,Cgrp,Ct,Ctn"
933,CD22,"SIGLEC-2,SIGLEC2"
1536,CYBB,"AMCBX2,CGD,CGDX,GP91-1,GP91-PHOX,GP91PHOX,IMD34,NOX2,p91-PHOX"
2641,GCG,"GLP-1,GLP1,GLP2,GRPP"
3672,ITGA1,"CD49a,VLA1"
346007,EYS,"C6orf178,C6orf179,C6orf180,EGFL10,EGFL11,RP25,SPAM,bA166P24.2,bA307F22.3,bA74E24.1,dJ1018A4.2,dJ22I17.2,dJ303F19.1"
2717,GLA,"G,A,L,A"
2538,G6PC1,"G6PC,G6PT,G6Pase,GSD1,GSD1a"
1499,CTNNB1,"CTNNB,EVR7,MRD19,NEDSDV,armadillo"
3439,IFNA1,"IFL,IFN,IFN-ALPHA,IFN-alphaD,IFNA13,IFNA@,leIF D"
867,CBL,"C-CBL,CBL2,FRA11B,NSLL,RNF55"
2,A2M,"A2MD,CPAMD5,FWP007,S863-7"
6287,None,None
7157,TP53,"BCC7,BMFS5,LFS1,P53,TRP53"
3960,LGALS4,"GAL4,L36LBP"
18858,Pmp22,"Gas-3,HNPP,PMP-22,TRE002,Tr,trembler"
4893,NRAS,"ALPS4,CMNS,KRAS,N-ras,NCMS,NRAS1,NS6"
4804,NGFR,"CD271,Gp80-LNGFR,TNFRSF16,p75(NTR),p75NTR"
3669,ISG20,"CD25,HEM45"
54474,KRT20,"CD20,CK-20,CK20,K20,KRT21"
2244,FGB,"H,E,L,-,S,-,7,8,p"
7043,TGFB3,"ARVD,ARVD1,LDS5,RNHF,TGF-beta3"
17329,Cxcl9,"CMK,Mig,MuMIG,Scyb9,crg-10"
10327,AKR1A1,"ALDR1,ALR,ARM,DD3,HEL-S-6"
3897,L1CAM,"CAML1,CD171,HSAS,HSAS1,HYCX,MASA,MIC5,N-CAM-L1,N-CAML1,NCAM-L1,S10,SPG1"
3371,TNC,"150-225,DFNA56,GMEM,GP,HXB,JI,TN,TN-C"
1356,CP,"AB073614,CP-2"
24705,Rara,None
50,ACO2,"ACONM,HEL-S-284,ICRD,OCA8,OPA9"
644914,H3P16,"H3.6,H3F3AP6,p21"
925,CD8A,"CD8,CD8alpha,Leu2,p32"
1152,CKB,"B-CK,BCK,CKBB,CPK-B,HEL-211,HEL-S-29"
17005,Ltk,None
7112,TMPO,"CMD1T,LAP2,LEMD4,PRO0868,TP"
855819,CLN2,None
721,C4B,"C4B1,C4B12,C4B2,C4B3,C4B5,C4BD,C4B_2,C4F,CH,CO4,CPAMD3"
3126,HLA-DRB4,"DR4,DRB4,HLA-DR4B,HLA-DRB,HLA-DRB4*"
712,C1QA,"C,1,Q,D,1"
1990,CELA1,"E,L,A,1"
3123,HLA-DRB1,"DRB1,HLA-DR1B,HLA-DRB,SS1"
166785,MMAA,"c,b,l,A"
111654,Ifna,"Ifa,Ifa8"
3920,LAMP2,"CD107b,DND,LAMP-2,LAMPB,LGP-96,LGP110"
8795,TNFRSF10B,"CD262,DR5,KILLER,KILLER/DR5,TRAIL-R2,TRAILR2,TRICK2,TRICK2A,TRICK2B,TRICKB,ZTNFR9"
27249,MMADHC,"C2orf25,CL25022,cblD"
6690,SPINK1,"PCTT,PSTI,Spink3,TATI,TCP"
2712,GK2,"GKP2,GKTA"
4613,MYCN,"MODED,MYCNsORF,MYCNsPEP,N-myc,NMYC,ODED,bHLHe37"
2691,GHRH,"GHRF,GRF,INN"
3005,H1-0,"H1.0,H10,H1F0,H1FV"
24646,Abcb1b,"Abcb1,Mdr1,Pgy1,Pgy2,mdr1b"
952,CD38,"ADPRC 1,ADPRC1,cADPR1"
3684,ITGAM,"CD11B,CR3A,MAC-1,MAC1A,MO1A,SLEB6"
24616,Pah,None
2656,GCY,"STA,TS,TSY"
2147,F2,"PT,RPRGL2,THPH1"
1351,COX8A,"COX,COX8,COX8-2,COX8L,MC4DN15,VIII,VIII-L"
551,AVP,"ADH,ARVP,AVP-NPII,AVRP,VP"
4922,NTS,"NMN-125,NN,NT,NT/N,NTS1"
4868,NPHS1,"CNF,NPHN,nephrin"
101104540,NGF,None
411,ARSB,"ASB,G4S,MPS6"
3931,LCAT,None
3560,IL2RB,"CD122,IL15RB,IMD63,P70-75"
999,CDH1,"Arc-1,BCDS1,CD324,CDHE,ECAD,LCAM,UVO"
852457,CDC28,"CDK1,HSL5,SRM5"
2108,ETFA,"EMA,GA2,MADD"
7701379,None,None
1956,EGFR,"ERBB,ERBB1,ERRP,HER1,NISBD2,PIG61,mENA"
3484,IGFBP1,"AFBP,IBP1,IGF-BP25,PP12,hIGFBP-1"
16184,Il2ra,"CD25,Il2r,Ly-43"
445,ASS1,"ASS,CTLN1"
3683,ITGAL,"CD11A,LFA-1,LFA1A"
6401,SELE,"CD62E,ELAM,ELAM1,ESEL,LECAM2,selectin-e"
18015,Nf1,"Dsk9,E030030H24Rik,Mhdadsk9,Nf-1"
929,CD14,None
55808,ST6GALNAC1,"HSY11339,SIAT7A,ST6GalNAcI,STYI"
14174,Fgf3,"Fgf-3,Fgf5c,Int-2,Int-P"
5009,OTC,"OCTD,OTC1,OTCD,OTCase"
7701380,None,None
5727,PTCH1,"BCNS,BCNS1,NBCCS,PTC,PTC1,PTCH"
10714,POLD3,"P66,P68,PPP1R128"
1991,ELANE,"ELA2,GE,HLE,HNE,NE,PMN-E,SCN1"
3567,IL5,"EDF,IL-5,TRF"
2584,GALK1,"GALK,GK1,HEL-S-19"
1294,COL7A1,"EBD1,EBDCT,EBR1,NDNC8"
51727,CMPK1,"CK,CMK,CMPK,UMK,UMP-CMPK,UMPK"
4610,MYCL,"L-Myc,LMYC,MYCL1,bHLHe38"
367,AR,"AIS,AR8,DHTR,HUMARA,HYSP1,KD,NR3C4,SBMA,SMAX1,TFM"
7248,TSC1,"LAM,TSC"
16193,Il6,"I,l,-,6"
213,ALB,"FDAHT,HSA,PRO0883,PRO0903,PRO1341"
2720,GLB1,"EBP,ELNR1,MPS4B"
51083,GAL,"ETL8,GAL-GMAP,GALN,GLNN,GMAP"
4609,MYC,"MRTL,MYCC,bHLHe39,c-Myc"
3265,HRAS,"C-BAS/HAS,C-H-RAS,C-HA-RAS1,CTLO,H-RASIDX,HAMSV,HRAS1,RASH1,p21ras"
4051,CYP4F3,"CPF3,CYP4F,CYPIVF3,LTB4H"
5660,PSAP,"GLBA,PARK24,PSAPD,SAP1,SAP2"
2213,FCGR2B,"CD32,CD32B,FCG2,FCGR2,FCGR2C,FcGRIIB,FcRII-c,FcgammaRIIb,IGFR2"
24577,Myc,"RNCMYC,c-myc,mMyc"
28,ABO,"A3GALNT,A3GALT1,GTB,NAGAT"
590,BCHE,"BCHED,CHE1,CHE2,E1"
